area_code,city,state,region,total_calls,unique_leads,bookings,shows,booking_rate_pct,show_rate_pct,engagement_rate_pct
832,Houston,Texas,Texas-Houston,1191,783,7.0,3.0,0.5877413937867338,42.857142857142854,91.19127516778524
318,Shreveport,Louisiana,Louisiana,995,588,21.0,7.0,2.1105527638190953,33.33333333333333,88.05220883534136
713,Houston,Texas,Texas-Houston,859,559,7.0,1.0,0.8149010477299184,14.285714285714285,90.104772991851
918,Tulsa,Oklahoma,Oklahoma,774,543,6.0,0.0,0.7751937984496124,0.0,90.05167958656331
281,Houston,Texas,Texas-Houston,468,312,5.0,1.0,1.0683760683760684,20.0,91.23931623931624
248,Troy,Michigan,Michigan,357,266,0.0,0.0,0.0,0.0,95.51820728291317
810,Flint,Michigan,Michigan,230,168,1.0,0.0,0.43478260869565216,0.0,96.95652173913044
346,Houston,Texas,Texas-Houston,170,97,2.0,1.0,1.1764705882352942,50.0,88.8235294117647
734,Ann Arbor,Michigan,Michigan,108,77,1.0,0.0,0.9259259259259258,0.0,93.51851851851852
517,Lansing,Michigan,Michigan,80,56,1.0,1.0,1.25,100.0,92.5
979,Bryan-College Station,Texas,Texas-Other,72,40,1.0,0.0,1.3888888888888888,0.0,87.5
313,Detroit,Michigan,Michigan,67,46,1.0,0.0,1.4925373134328357,0.0,91.04477611940298
586,Warren,Michigan,Michigan,60,46,0.0,0.0,0.0,0.0,95.0
512,Austin,Texas,Texas-Other,57,37,0.0,0.0,0.0,0.0,98.24561403508771
405,Oklahoma City,Oklahoma,Oklahoma,56,42,0.0,0.0,0.0,0.0,80.35714285714286
409,Beaumont,Texas,Texas-Other,49,33,0.0,0.0,0.0,0.0,73.46938775510205
817,Fort Worth,Texas,Texas-Other,46,23,1.0,0.0,2.1739130434782608,0.0,95.65217391304348
214,Dallas,Texas,Texas-Other,43,27,2.0,0.0,4.651162790697675,0.0,97.67441860465115
337,Lafayette,Louisiana,Louisiana,43,26,0.0,0.0,0.0,0.0,74.4186046511628
504,New Orleans,Louisiana,Louisiana,40,27,0.0,0.0,0.0,0.0,90.0
903,Tyler,Texas,Texas-Other,37,21,2.0,1.0,5.405405405405405,50.0,94.5945945945946
210,San Antonio,Texas,Texas-Other,35,25,0.0,0.0,0.0,0.0,94.28571428571428
917,New York City,New York,New York,33,16,0.0,0.0,0.0,0.0,93.93939393939394
936,Conroe,Texas,Texas-Other,32,22,0.0,0.0,0.0,0.0,90.625
314,St. Louis,Missouri,Missouri,30,15,1.0,0.0,3.3333333333333335,0.0,80.0
469,Dallas,Texas,Texas-Houston,27,14,0.0,0.0,0.0,0.0,100.0
225,Baton Rouge,Louisiana,Louisiana,26,14,0.0,0.0,0.0,0.0,92.3076923076923
580,Lawton,Oklahoma,Oklahoma,25,14,0.0,0.0,0.0,0.0,84.0
678,Atlanta,Georgia,Georgia,24,13,0.0,0.0,0.0,0.0,95.83333333333334
539,Tulsa,Oklahoma,Oklahoma,23,18,0.0,0.0,0.0,0.0,73.91304347826086
501,Little Rock,Arkansas,Arkansas,23,12,0.0,0.0,0.0,0.0,91.30434782608695
562,Long Beach,California,California,22,6,0.0,0.0,0.0,0.0,100.0
404,Atlanta,Georgia,Georgia,22,13,0.0,0.0,0.0,0.0,90.9090909090909
989,Saginaw,Michigan,Michigan,22,17,0.0,0.0,0.0,0.0,90.9090909090909
956,Laredo,Texas,Texas-Other,22,15,0.0,0.0,0.0,0.0,95.45454545454545
773,Chicago,Illinois,Illinois,21,11,0.0,0.0,0.0,0.0,95.23809523809523
479,Fayetteville,Arkansas,Arkansas,21,13,1.0,0.0,4.761904761904762,0.0,100.0
316,Wichita,Kansas,Kansas,17,13,1.0,0.0,5.88235294117647,0.0,64.70588235294117
347,New York City,New York,New York,17,13,0.0,0.0,0.0,0.0,100.0
720,Denver,Colorado,Colorado,17,11,0.0,0.0,0.0,0.0,94.11764705882352
616,Grand Rapids,Michigan,Michigan,16,7,1.0,0.0,6.25,0.0,81.25
312,Chicago,Illinois,Illinois,16,12,0.0,0.0,0.0,0.0,87.5
305,Miami,Florida,Florida,15,11,0.0,0.0,0.0,0.0,80.0
901,Memphis,Tennessee,Tennessee,15,11,0.0,0.0,0.0,0.0,93.33333333333333
870,Jonesboro,Arkansas,Arkansas,15,11,0.0,0.0,0.0,0.0,60.0
310,Los Angeles,California,California,15,9,1.0,0.0,6.666666666666667,0.0,100.0
443,Baltimore,Maryland,Maryland,14,9,0.0,0.0,0.0,0.0,100.0
619,San Diego,California,California,14,7,0.0,0.0,0.0,0.0,85.71428571428571
516,Long Island,New York,New York,14,8,0.0,0.0,0.0,0.0,100.0
609,Trenton,New Jersey,New Jersey,14,4,0.0,0.0,0.0,0.0,85.71428571428571
706,Augusta,Georgia,Georgia,13,5,0.0,0.0,0.0,0.0,92.3076923076923
203,Bridgeport,Connecticut,Connecticut,13,7,0.0,0.0,0.0,0.0,100.0
361,Corpus Christi,Texas,Texas-Other,13,8,0.0,0.0,0.0,0.0,92.3076923076923
432,Midland,Texas,Texas-Other,13,5,0.0,0.0,0.0,0.0,100.0
682,Fort Worth,Texas,Texas-Other,13,11,0.0,0.0,0.0,0.0,100.0
323,Los Angeles,California,California,12,7,0.0,0.0,0.0,0.0,91.66666666666666
972,Dallas,Texas,Texas-Houston,12,9,0.0,0.0,0.0,0.0,75.0
919,Raleigh,North Carolina,North Carolina,12,11,0.0,0.0,0.0,0.0,83.33333333333334
951,Riverside,California,California,12,6,0.0,0.0,0.0,0.0,100.0
510,Oakland,California,California,11,8,0.0,0.0,0.0,0.0,100.0
704,Charlotte,North Carolina,North Carolina,11,5,0.0,0.0,0.0,0.0,63.63636363636363
254,Waco,Texas,Texas-Other,11,7,0.0,0.0,0.0,0.0,81.81818181818183
414,Milwaukee,Wisconsin,Wisconsin,10,6,0.0,0.0,0.0,0.0,60.0
662,Tupelo,Mississippi,Mississippi,10,7,0.0,0.0,0.0,0.0,90.0
502,Louisville,Kentucky,Kentucky,10,8,0.0,0.0,0.0,0.0,90.0
949,Irvine,California,California,10,6,0.0,0.0,0.0,0.0,100.0
816,Kansas City,Missouri,Missouri,10,7,0.0,0.0,0.0,0.0,100.0
615,Nashville,Tennessee,Tennessee,10,6,0.0,0.0,0.0,0.0,100.0
641,Mason City,Iowa,Iowa,10,1,0.0,0.0,0.0,0.0,100.0
