day_of_week,hour,total_calls,engagement_rate_pct
Monday,8,103,96.11650485436894
Monday,9,272,90.80882352941177
Monday,10,229,88.20960698689956
Monday,11,187,85.02673796791443
Monday,12,318,92.76729559748428
Monday,13,190,87.89473684210526
Monday,14,98,92.85714285714286
Monday,15,24,100.0
Monday,16,136,97.05882352941177
Monday,17,1,100.0
Tuesday,0,1,100.0
Tuesday,7,1,0.0
Tuesday,8,118,80.50847457627118
Tuesday,9,195,91.7948717948718
Tuesday,10,218,84.40366972477065
Tuesday,11,135,89.62962962962962
Tuesday,12,227,93.3920704845815
Tuesday,13,126,95.23809523809523
Tuesday,14,60,91.66666666666666
Tuesday,15,27,92.5925925925926
Tuesday,16,112,86.60714285714286
Wednesday,8,167,90.47619047619048
Wednesday,9,215,87.44186046511628
Wednesday,10,109,90.82568807339449
Wednesday,11,144,93.75
Wednesday,12,175,94.28571428571428
Wednesday,13,175,88.57142857142857
Wednesday,14,157,92.35668789808918
Wednesday,15,23,86.95652173913044
Wednesday,16,72,93.05555555555556
Thursday,7,2,100.0
Thursday,8,199,88.94472361809045
Thursday,9,289,89.96539792387543
Thursday,10,151,92.05298013245033
Thursday,11,152,89.47368421052632
Thursday,12,271,92.27941176470588
Thursday,13,168,91.07142857142857
Thursday,14,111,98.1981981981982
Thursday,15,44,79.54545454545455
Thursday,16,71,87.32394366197182
Friday,8,148,91.8918918918919
Friday,9,108,90.74074074074075
Friday,10,166,94.57831325301204
Friday,11,282,86.87943262411348
Friday,12,187,90.9090909090909
Friday,13,59,91.52542372881356
Friday,14,11,100.0
Friday,15,16,75.0
Friday,16,105,85.71428571428571
Friday,17,2,100.0
