day_of_week,hour,engagement_rate,total_calls,category
Friday,17,1.0,2,Golden Hours
Friday,14,1.0,11,Golden Hours
Thursday,7,1.0,2,Golden Hours
Tuesday,0,1.0,1,Golden Hours
Monday,17,1.0,1,Golden Hours
Monday,15,1.0,24,Golden Hours
Thursday,14,0.9819819819819819,111,Golden Hours
Monday,16,0.9705882352941175,136,Golden Hours
Monday,8,0.9611650485436894,103,Golden Hours
Tuesday,13,0.9523809523809524,126,Golden Hours
Friday,10,0.9457831325301204,166,Golden Hours
Wednesday,12,0.9428571428571427,175,Golden Hours
Wednesday,11,0.9375,144,Golden Hours
Tuesday,12,0.9339207048458149,227,Golden Hours
Wednesday,16,0.9305555555555556,72,Golden Hours
Monday,14,0.9285714285714286,98,Golden Hours
Monday,12,0.9276729559748428,318,Golden Hours
Tuesday,15,0.9259259259259259,27,Golden Hours
Wednesday,14,0.9235668789808917,157,Golden Hours
Thursday,12,0.9227941176470589,271,Golden Hours
Thursday,10,0.9205298013245031,151,Golden Hours
Friday,8,0.918918918918919,148,Golden Hours
Tuesday,9,0.9179487179487179,195,Golden Hours
Tuesday,14,0.9166666666666665,60,Golden Hours
Friday,13,0.9152542372881356,59,Golden Hours
Thursday,13,0.9107142857142856,168,Golden Hours
Friday,12,0.9090909090909091,187,Golden Hours
Wednesday,10,0.9082568807339447,109,Golden Hours
Monday,9,0.9080882352941175,272,Golden Hours
Friday,9,0.9074074074074077,108,Golden Hours
Wednesday,8,0.9047619047619048,167,Golden Hours
Thursday,9,0.8996539792387543,289,Golden Hours
Tuesday,11,0.8962962962962961,135,Golden Hours
Thursday,11,0.8947368421052632,152,Golden Hours
Thursday,8,0.8894472361809045,199,Golden Hours
Wednesday,13,0.8857142857142857,175,Golden Hours
Monday,10,0.8820960698689956,229,Golden Hours
Monday,13,0.8789473684210526,190,Golden Hours
Wednesday,9,0.8744186046511628,215,Golden Hours
Thursday,16,0.8732394366197183,71,Golden Hours
Wednesday,15,0.8695652173913043,23,Golden Hours
Friday,11,0.8687943262411347,282,Golden Hours
Tuesday,16,0.8660714285714286,112,Golden Hours
Friday,16,0.8571428571428571,105,Golden Hours
Monday,11,0.8502673796791442,187,Golden Hours
Tuesday,10,0.8440366972477065,218,Golden Hours
Tuesday,8,0.8050847457627118,118,Golden Hours
Thursday,15,0.7954545454545454,44,Golden Hours
Friday,15,0.75,16,Golden Hours
Tuesday,7,0.0,1,Avoid
