metric,value
total_bookings,74.0
resolved_count,55.0
total_shows,21.0
total_calls,7861.0
total_cost,3500.0
cost_per_booking,47.3
cost_per_show,166.67
intro_price,69.0
revenue_actual,1449.0
roi_actual,0.41
ltv_conservative,1614.0
ltv_average,3228.0
ltv_optimistic,6456.0
potential_revenue_conservative,33894.0
potential_revenue_average,67788.0
potential_revenue_optimistic,135576.0
roi_potential_conservative,9.68
roi_potential_average,19.37
roi_potential_optimistic,38.74
cac_actual,166.67
cac_target,45.0
cac_gap,121.67
shows_needed_for_target,77.8
conversion_rate,0.0094
show_rate,0.3818
