booking_event,current_status,count,percentage
Booking Cancelled,Cancelled By Admin - Not Customer Fault - No Session Credit Lost,11,14.3
Booking Cancelled,Cancelled Outside Policy Rules - Session Lost,2,2.6
Booking Cancelled,Cancelled Within Policy Rules - No session credit lost,10,13.0
Booking Cancelled,Rescheduled By Admin,3,3.9
Booking Completed,Completed Booking,6,7.8
New Booking Made,Cancelled By Admin - Not Customer Fault - No Session Credit Lost,7,9.1
New Booking Made,Cancelled Outside Policy Rules - Session Lost,6,7.8
New Booking Made,Cancelled Within Policy Rules - No session credit lost,12,15.6
New Booking Made,Completed Booking,4,5.2
New Booking Made,No Show Booking,1,1.3
New Booking Made,Open Booking - not yet logged,14,18.2
New Booking Made,Rescheduled By Admin,1,1.3
