area_code,city,state,region,total_calls,unique_leads,bookings,shows,booking_rate_pct,show_rate_pct,engagement_rate_pct
832,Houston,Texas,Texas-Houston,1234,802,8.0,4.0,0.6482982171799028,50.0,90.93117408906882
318,Shreveport,Louisiana,Louisiana,1079,617,23.0,7.0,2.131603336422614,30.434782608695656,88.33333333333333
713,Houston,Texas,Texas-Houston,901,573,7.0,3.0,0.776914539400666,42.857142857142854,89.90011098779135
918,Tulsa,Oklahoma,Oklahoma,812,559,7.0,0.0,0.8620689655172413,0.0,89.77832512315271
281,Houston,Texas,Texas-Houston,491,321,5.0,1.0,1.0183299389002036,20.0,90.22403258655804
248,Troy,Michigan,Michigan,357,266,0.0,0.0,0.0,0.0,95.51820728291317
810,Flint,Michigan,Michigan,232,169,1.0,0.0,0.43103448275862066,0.0,96.98275862068965
346,Houston,Texas,Texas-Houston,175,98,2.0,1.0,1.1428571428571428,50.0,88.0
734,Ann Arbor,Michigan,Michigan,108,77,1.0,0.0,0.9259259259259258,0.0,93.51851851851852
517,Lansing,Michigan,Michigan,80,56,1.0,1.0,1.25,100.0,92.5
979,Bryan-College Station,Texas,Texas-Other,74,40,1.0,0.0,1.3513513513513513,0.0,87.83783783783784
313,Detroit,Michigan,Michigan,67,46,1.0,0.0,1.4925373134328357,0.0,91.04477611940298
405,Oklahoma City,Oklahoma,Oklahoma,62,45,0.0,0.0,0.0,0.0,80.64516129032258
586,Warren,Michigan,Michigan,60,46,0.0,0.0,0.0,0.0,95.0
512,Austin,Texas,Texas-Other,60,38,0.0,0.0,0.0,0.0,98.33333333333333
409,Beaumont,Texas,Texas-Other,51,34,0.0,0.0,0.0,0.0,72.54901960784314
817,Fort Worth,Texas,Texas-Other,48,24,1.0,0.0,2.083333333333333,0.0,95.83333333333334
337,Lafayette,Louisiana,Louisiana,45,27,0.0,0.0,0.0,0.0,75.55555555555556
214,Dallas,Texas,Texas-Other,44,28,2.0,0.0,4.545454545454546,0.0,97.72727272727273
504,New Orleans,Louisiana,Louisiana,41,28,0.0,0.0,0.0,0.0,90.2439024390244
903,Tyler,Texas,Texas-Other,38,21,2.0,1.0,5.263157894736842,50.0,94.73684210526315
917,New York City,New York,New York,35,16,0.0,0.0,0.0,0.0,91.42857142857143
210,San Antonio,Texas,Texas-Other,35,25,0.0,0.0,0.0,0.0,94.28571428571428
936,Conroe,Texas,Texas-Other,33,23,0.0,0.0,0.0,0.0,87.87878787878788
225,Baton Rouge,Louisiana,Louisiana,30,16,0.0,0.0,0.0,0.0,90.0
314,St. Louis,Missouri,Missouri,30,15,1.0,0.0,3.3333333333333335,0.0,80.0
469,Dallas,Texas,Texas-Houston,29,15,0.0,0.0,0.0,0.0,100.0
539,Tulsa,Oklahoma,Oklahoma,26,18,0.0,0.0,0.0,0.0,73.07692307692307
580,Lawton,Oklahoma,Oklahoma,26,15,0.0,0.0,0.0,0.0,84.61538461538461
501,Little Rock,Arkansas,Arkansas,25,13,0.0,0.0,0.0,0.0,92.0
404,Atlanta,Georgia,Georgia,24,14,0.0,0.0,0.0,0.0,91.66666666666666
678,Atlanta,Georgia,Georgia,24,13,0.0,0.0,0.0,0.0,95.83333333333334
956,Laredo,Texas,Texas-Other,23,15,0.0,0.0,0.0,0.0,95.65217391304348
562,Long Beach,California,California,23,6,0.0,0.0,0.0,0.0,100.0
479,Fayetteville,Arkansas,Arkansas,22,13,1.0,0.0,4.545454545454546,0.0,100.0
773,Chicago,Illinois,Illinois,22,11,0.0,0.0,0.0,0.0,95.45454545454545
989,Saginaw,Michigan,Michigan,22,17,0.0,0.0,0.0,0.0,90.9090909090909
901,Memphis,Tennessee,Tennessee,20,13,0.0,0.0,0.0,0.0,95.0
347,New York City,New York,New York,18,14,0.0,0.0,0.0,0.0,100.0
720,Denver,Colorado,Colorado,17,11,0.0,0.0,0.0,0.0,94.11764705882352
316,Wichita,Kansas,Kansas,17,13,1.0,0.0,5.88235294117647,0.0,64.70588235294117
870,Jonesboro,Arkansas,Arkansas,17,12,0.0,0.0,0.0,0.0,64.70588235294117
616,Grand Rapids,Michigan,Michigan,16,7,1.0,0.0,6.25,0.0,81.25
619,San Diego,California,California,16,7,0.0,0.0,0.0,0.0,87.5
312,Chicago,Illinois,Illinois,16,12,0.0,0.0,0.0,0.0,87.5
310,Los Angeles,California,California,16,9,1.0,0.0,6.25,0.0,100.0
305,Miami,Florida,Florida,15,11,0.0,0.0,0.0,0.0,80.0
361,Corpus Christi,Texas,Texas-Other,15,10,0.0,0.0,0.0,0.0,93.33333333333333
609,Trenton,New Jersey,New Jersey,14,4,0.0,0.0,0.0,0.0,85.71428571428571
516,Long Island,New York,New York,14,8,0.0,0.0,0.0,0.0,100.0
443,Baltimore,Maryland,Maryland,14,9,0.0,0.0,0.0,0.0,100.0
706,Augusta,Georgia,Georgia,14,5,0.0,0.0,0.0,0.0,92.85714285714286
972,Dallas,Texas,Texas-Houston,13,9,0.0,0.0,0.0,0.0,76.92307692307693
432,Midland,Texas,Texas-Other,13,5,0.0,0.0,0.0,0.0,100.0
682,Fort Worth,Texas,Texas-Other,13,11,0.0,0.0,0.0,0.0,100.0
510,Oakland,California,California,13,8,0.0,0.0,0.0,0.0,100.0
203,Bridgeport,Connecticut,Connecticut,13,7,0.0,0.0,0.0,0.0,100.0
254,Waco,Texas,Texas-Other,13,9,0.0,0.0,0.0,0.0,84.61538461538461
919,Raleigh,North Carolina,North Carolina,12,11,0.0,0.0,0.0,0.0,83.33333333333334
323,Los Angeles,California,California,12,7,0.0,0.0,0.0,0.0,91.66666666666666
951,Riverside,California,California,12,6,0.0,0.0,0.0,0.0,100.0
662,Tupelo,Mississippi,Mississippi,11,8,0.0,0.0,0.0,0.0,90.9090909090909
816,Kansas City,Missouri,Missouri,11,7,0.0,0.0,0.0,0.0,90.9090909090909
704,Charlotte,North Carolina,North Carolina,11,5,0.0,0.0,0.0,0.0,63.63636363636363
601,Jackson,Mississippi,Mississippi,11,9,0.0,0.0,0.0,0.0,90.9090909090909
202,Washington,DC,DC,11,6,0.0,0.0,0.0,0.0,90.9090909090909
303,Denver,Colorado,Colorado,11,7,0.0,0.0,0.0,0.0,100.0
317,Indianapolis,Indiana,Indiana,11,7,0.0,0.0,0.0,0.0,100.0
402,Omaha,Nebraska,Nebraska,10,6,0.0,0.0,0.0,0.0,50.0
414,Milwaukee,Wisconsin,Wisconsin,10,6,0.0,0.0,0.0,0.0,60.0
205,Birmingham,Alabama,Alabama,10,8,0.0,0.0,0.0,0.0,90.0
949,Irvine,California,California,10,6,0.0,0.0,0.0,0.0,100.0
269,Kalamazoo,Michigan,Michigan,10,6,0.0,0.0,0.0,0.0,60.0
641,Mason City,Iowa,Iowa,10,1,0.0,0.0,0.0,0.0,100.0
615,Nashville,Tennessee,Tennessee,10,6,0.0,0.0,0.0,0.0,100.0
502,Louisville,Kentucky,Kentucky,10,8,0.0,0.0,0.0,0.0,90.0
256,Huntsville,Alabama,Alabama,10,5,2.0,0.0,20.0,0.0,90.0
321,Orlando,Florida,Florida,9,5,0.0,0.0,0.0,0.0,88.88888888888889
215,Philadelphia,Pennsylvania,Pennsylvania,9,7,0.0,0.0,0.0,0.0,100.0
423,Chattanooga,Tennessee,Tennessee,9,5,0.0,0.0,0.0,0.0,100.0
916,Sacramento,California,California,9,6,0.0,0.0,0.0,0.0,66.66666666666666
315,Syracuse,New York,New York,9,4,0.0,0.0,0.0,0.0,100.0
630,Chicago,Illinois,Illinois,9,7,0.0,0.0,0.0,0.0,88.88888888888889
646,New York City,New York,New York,9,6,0.0,0.0,0.0,0.0,100.0
843,Charleston,South Carolina,South Carolina,9,6,0.0,0.0,0.0,0.0,88.88888888888889
407,Orlando,Florida,Florida,9,6,0.0,0.0,0.0,0.0,100.0
702,Las Vegas,Nevada,Nevada,9,7,0.0,0.0,0.0,0.0,88.88888888888889
904,Jacksonville,Florida,Florida,8,4,0.0,0.0,0.0,0.0,100.0
571,Arlington,Virginia,Virginia,8,7,0.0,0.0,0.0,0.0,100.0
925,Concord,California,California,8,4,0.0,0.0,0.0,0.0,100.0
719,Colorado Springs,Colorado,Colorado,8,4,0.0,0.0,0.0,0.0,100.0
231,Traverse City,Michigan,Michigan,8,6,0.0,0.0,0.0,0.0,75.0
251,Mobile,Alabama,Alabama,8,7,0.0,0.0,0.0,0.0,75.0
430,Tyler,Texas,Texas-Other,8,1,0.0,0.0,0.0,0.0,100.0
703,Arlington,Virginia,Virginia,7,6,0.0,0.0,0.0,0.0,100.0
417,Springfield,Missouri,Missouri,7,5,0.0,0.0,0.0,0.0,42.857142857142854
850,Tallahassee,Florida,Florida,7,6,0.0,0.0,0.0,0.0,85.71428571428571
830,San Antonio,Texas,Texas-Other,7,2,0.0,0.0,0.0,0.0,71.42857142857143
408,San Jose,California,California,7,5,0.0,0.0,0.0,0.0,85.71428571428571
240,Silver Spring,Maryland,Maryland,7,5,0.0,0.0,0.0,0.0,85.71428571428571
574,South Bend,Indiana,Indiana,7,4,0.0,0.0,0.0,0.0,57.14285714285714
815,Rockford,Illinois,Illinois,7,4,0.0,0.0,0.0,0.0,85.71428571428571
803,Columbia,South Carolina,South Carolina,7,4,0.0,0.0,0.0,0.0,71.42857142857143
859,Lexington,Kentucky,Kentucky,7,5,0.0,0.0,0.0,0.0,85.71428571428571
808,Honolulu,Hawaii,Hawaii,7,5,0.0,0.0,0.0,0.0,100.0
985,Slidell,Louisiana,Louisiana,7,6,0.0,0.0,0.0,0.0,71.42857142857143
513,Cincinnati,Ohio,Ohio,7,5,0.0,0.0,0.0,0.0,85.71428571428571
201,Jersey City,New Jersey,New Jersey,7,7,0.0,0.0,0.0,0.0,100.0
334,Montgomery,Alabama,Alabama,7,4,0.0,0.0,0.0,0.0,100.0
509,Spokane,Washington,Washington,7,5,0.0,0.0,0.0,0.0,71.42857142857143
954,Fort Lauderdale,Florida,Florida,6,4,0.0,0.0,0.0,0.0,100.0
770,Atlanta,Georgia,Georgia,6,3,0.0,0.0,0.0,0.0,100.0
239,Naples,Florida,Florida,6,4,0.0,0.0,0.0,0.0,100.0
860,Hartford,Connecticut,Connecticut,6,4,0.0,0.0,0.0,0.0,100.0
716,Buffalo,New York,New York,6,4,0.0,0.0,0.0,0.0,100.0
786,Miami,Florida,Florida,6,5,2.0,1.0,33.33333333333333,50.0,100.0
415,San Francisco,California,California,6,3,0.0,0.0,0.0,0.0,100.0
