day_of_week,hour,total_calls,engagement_rate_pct
Monday,8,138,96.37681159420289
Monday,9,367,91.82561307901908
Monday,10,303,87.45874587458746
Monday,11,286,82.86713286713287
Monday,12,350,92.28571428571428
Monday,13,235,87.2340425531915
Monday,14,154,87.01298701298701
Monday,15,49,95.91836734693877
Monday,16,159,94.33962264150944
Monday,17,1,100.0
Tuesday,0,1,100.0
Tuesday,7,1,0.0
Tuesday,8,132,82.57575757575758
Tuesday,9,264,91.66666666666666
Tuesday,10,282,86.17021276595744
Tuesday,11,212,90.09433962264151
Tuesday,12,316,92.72151898734177
Tuesday,13,192,94.79166666666666
Tuesday,14,81,88.88888888888889
Tuesday,15,67,95.52238805970148
Tuesday,16,154,88.96103896103897
Wednesday,8,184,90.81081081081082
Wednesday,9,272,89.33823529411765
Wednesday,10,162,93.20987654320987
Wednesday,11,192,92.70833333333334
Wednesday,12,200,93.5
Wednesday,13,229,88.64628820960698
Wednesday,14,168,92.85714285714286
Wednesday,15,40,90.0
Wednesday,16,114,93.85964912280701
Thursday,7,2,100.0
Thursday,8,230,89.13043478260869
Thursday,9,345,89.85507246376811
Thursday,10,174,91.95402298850574
Thursday,11,177,89.83050847457628
Thursday,12,308,92.55663430420712
Thursday,13,223,90.5829596412556
Thursday,14,154,94.15584415584416
Thursday,15,72,86.11111111111111
Thursday,16,88,85.22727272727273
Friday,8,187,90.9090909090909
Friday,9,151,87.41721854304636
Friday,10,184,91.30434782608695
Friday,11,344,86.33720930232558
Friday,12,246,90.2439024390244
Friday,13,89,88.76404494382022
Friday,14,11,100.0
Friday,15,16,75.0
Friday,16,115,83.47826086956522
Friday,17,2,100.0
