metric,value
total_bookings,80.0
resolved_count,74.0
total_shows,24.0
total_calls,9116.0
total_cost,3500.0
cost_per_booking,43.75
cost_per_show,145.83
intro_price,69.0
revenue_actual,1656.0
roi_actual,0.47
ltv_conservative,1614.0
ltv_average,3228.0
ltv_optimistic,6456.0
potential_revenue_conservative,38736.0
potential_revenue_average,77472.0
potential_revenue_optimistic,154944.0
roi_potential_conservative,11.07
roi_potential_average,22.13
roi_potential_optimistic,44.27
cac_actual,145.83
cac_target,45.0
cac_gap,100.83
shows_needed_for_target,77.8
conversion_rate,0.0088
show_rate,0.3243
