Date,Studio,Outbound Calls,Inbound Calls,Answered Calls,Missed Calls,Voicemail Calls,New Bookings,Completed Bookings,Prospect Bookings,Open Future Bookings,Avg. Talk Time (min)
04/05/2026,Sasha Phiwe Khasa,176,0,176,0,0,0,1,0,12,0.46
01/05/2026,Sasha Phiwe Khasa,116,0,116,0,0,0,1,0,12,0.44
30/04/2026,Sasha Phiwe Khasa,167,0,167,0,0,2,0,0,12,0.48
29/04/2026,Sasha Phiwe Khasa,165,0,165,0,0,7,0,0,12,0.63
28/04/2026,Sasha Phiwe Khasa,194,0,194,0,0,3,0,0,12,0.59
27/04/2026,Sasha Phiwe Khasa,166,0,166,0,0,0,0,0,12,0.53
24/04/2026,Sasha Phiwe Khasa,155,0,155,0,0,6,1,0,12,0.71
23/04/2026,Sasha Phiwe Khasa,186,0,186,0,0,0,0,0,12,0.47
22/04/2026,Sasha Phiwe Khasa,118,0,117,0,0,1,0,0,12,0.48
21/04/2026,Sasha Phiwe Khasa,160,0,160,0,0,2,0,0,12,0.47
20/04/2026,Sasha Phiwe Khasa,211,0,211,0,0,1,0,0,12,0.48
17/04/2026,Sasha Phiwe Khasa,190,0,190,0,0,0,2,0,12,0.57
16/04/2026,Sasha Phiwe Khasa,104,0,104,0,0,0,0,0,12,0.5
15/04/2026,Sasha Phiwe Khasa,262,0,262,0,0,0,1,0,12,0.53
14/04/2026,Sasha Phiwe Khasa,186,0,186,0,0,0,0,0,12,0.4
13/04/2026,Sasha Phiwe Khasa,189,2,189,1,1,1,0,0,12,0.57
10/04/2026,Sasha Phiwe Khasa,103,0,103,0,0,4,0,0,12,0.66
09/04/2026,Sasha Phiwe Khasa,165,0,165,0,0,0,1,0,12,0.51
08/04/2026,Sasha Phiwe Khasa,172,1,172,1,0,3,0,0,12,0.63
07/04/2026,Sasha Phiwe Khasa,133,9,136,6,0,1,1,0,12,0.5
06/04/2026,Sasha Phiwe Khasa,202,2,202,2,0,1,1,0,12,0.48
02/04/2026,Sasha Phiwe Khasa,156,7,160,3,0,1,0,0,12,0.52
01/04/2026,Sasha Phiwe Khasa,129,7,130,6,0,2,0,0,12,0.57
31/03/2026,Sasha Phiwe Khasa,155,3,156,1,0,1,0,0,12,0.63
30/03/2026,Sasha Phiwe Khasa,209,7,210,6,0,0,1,0,12,0.53
27/03/2026,Sasha Phiwe Khasa,116,6,118,3,1,1,0,0,12,0.51
26/03/2026,Sasha Phiwe Khasa,151,5,151,5,0,2,1,0,12,0.62
25/03/2026,Sasha Phiwe Khasa,168,0,168,0,0,1,1,0,12,0.56
24/03/2026,Sasha Phiwe Khasa,112,0,112,0,0,0,0,0,12,0.58
23/03/2026,Sasha Phiwe Khasa,176,0,176,0,0,1,0,0,12,0.61
20/03/2026,Sasha Phiwe Khasa,190,0,190,0,0,0,0,0,12,0.5
19/03/2026,Sasha Phiwe Khasa,155,0,155,0,0,0,0,0,12,0.5
18/03/2026,Sasha Phiwe Khasa,197,0,197,0,0,1,0,0,12,0.63
17/03/2026,Sasha Phiwe Khasa,117,0,117,0,0,2,0,0,12,0.59
16/03/2026,Sasha Phiwe Khasa,146,0,146,0,0,2,0,0,12,0.57
13/03/2026,Sasha Phiwe Khasa,142,0,142,0,0,1,0,0,12,0.59
12/03/2026,Sasha Phiwe Khasa,138,0,138,0,0,2,0,0,12,0.72
11/03/2026,Sasha Phiwe Khasa,120,0,120,0,0,3,0,0,12,0.82
10/03/2026,Sasha Phiwe Khasa,150,0,150,0,0,3,2,0,12,0.59
09/03/2026,Sasha Phiwe Khasa,218,0,216,0,0,0,0,0,12,0.62
06/03/2026,Sasha Phiwe Khasa,83,0,83,0,0,3,0,0,12,0.73
05/03/2026,Sasha Phiwe Khasa,291,0,291,0,0,2,0,0,12,0.65
04/03/2026,Sasha Phiwe Khasa,41,0,41,0,0,0,0,0,12,0.51
03/03/2026,Sasha Phiwe Khasa,141,0,141,0,0,0,0,0,12,0.5
02/03/2026,Sasha Phiwe Khasa,208,0,208,0,0,1,1,0,12,0.56
27/02/2026,Sasha Phiwe Khasa,104,0,104,0,0,0,0,0,12,0.49
26/02/2026,Sasha Phiwe Khasa,110,0,110,0,0,2,0,0,12,0.88
25/02/2026,Sasha Phiwe Khasa,159,0,159,0,0,1,0,0,12,0.9
24/02/2026,Sasha Phiwe Khasa,66,0,66,0,0,4,0,0,12,1.1
